"Datum","Viral_Pot","Value_Infectious","Free_Viral","Viraliät_in_Proz","Viralität_pro_X","Dunkelziffer","Menschen_mit_Viruskontakt","Viral_Pot_Plus","Value_Infectious_Plus","Free_Viral_Plus","Viraliät_in_Proz_Plus","Viralität_pro_X_Plus","Dunkelziffer_Plus","Menschen_mit_Viruskontakt_Plus","Viral_Pot_Opt","Value_Infectious_Opt","Free_Viral_Opt","Viraliät_in_Proz_Opt","Viralität_pro_X_Opt","Dunkelziffer_Opt","Menschen_mit_Viruskontakt_Opt","Viral_Pot_Pess","Value_Infectious_Pess","Free_Viral_Pess","Viraliät_in_Proz_Pess","Viralität_pro_X_Pess","Dunkelziffer_Pess","Menschen_mit_Viruskontakt_Pess"
2020-03-04,3783.9954,0.553030525385843,3692.48915,0.000434410488235294,0.000434410488235294,5.908,0.000238348496248777,3783.9954,0.553030525385843,3692.48915,0.000434410488235294,0.000434410488235294,5.908,0.000238348496248777,3783.9954,0.553030525385843,3692.48915,0.000434410488235294,0.000434410488235294,5.908,0.000238348496248777,3783.9954,0.553030525385843,3692.48915,0.000434410488235294,0.000434410488235294,5.908,0.000238348496248777
2020-03-05,4980.6,0.47892666011549,4844.475,0.000569938235294117,0.000569938235294117,5.83,0.000319122153310862,4980.6,0.47892666011549,4844.475,0.000569938235294117,0.000569938235294117,5.83,0.000269720024969988,4980.6,0.47892666011549,4844.475,0.000569938235294117,0.000569938235294117,5.83,0.000269720024969988,4980.6,0.47892666011549,4844.475,0.000569938235294117,0.000569938235294117,5.83,0.000269720024969988
2020-03-06,6867.8658,0.325505130579133,6686.3658,0.000786631270588235,0.000786631270588235,5.752,0.000415785710122866,6867.8658,0.325505130579133,6686.3658,0.000786631270588235,0.000786631270588235,5.752,0.00033114553479431,6867.8658,0.325505130579133,6686.3658,0.000786631270588235,0.000786631270588235,5.752,0.00033114553479431,6867.8658,0.325505130579133,6686.3658,0.000786631270588235,0.000786631270588235,5.752,0.00033114553479431
2020-03-07,8879.9988,0.249656835398922,8646.31755,0.00101721382941176,0.00101721382941176,5.674,0.000480669467435033,8879.9988,0.249656835398922,8646.31755,0.00101721382941176,0.00101721382941176,5.674,0.000450761590358887,8879.9988,0.249656835398922,8646.31755,0.00101721382941176,0.00101721382941176,5.674,0.000450761590358887,8879.9988,0.249656835398922,8646.31755,0.00101721382941176,0.00101721382941176,5.674,0.000450761590358887
2020-03-08,11173.087,0.32706380309626,10909.912,0.00128351905882353,0.00128351905882353,5.59599999999999,0.000570712232684571,11173.087,0.32706380309626,10909.912,0.00128351905882353,0.00128351905882353,5.59599999999999,0.000551926377665311,11173.087,0.32706380309626,10909.912,0.00128351905882353,0.00128351905882353,5.59599999999999,0.000551926377665311,11173.087,0.32706380309626,10909.912,0.00128351905882353,0.00128351905882353,5.59599999999999,0.000551926377665311
2020-03-09,13353.0236,0.417021669053828,13043.71735,0.00153455498235294,0.00153455498235294,5.51799999999999,0.000826274786995759,13353.0236,0.417021669053828,13043.71735,0.00153455498235294,0.00153455498235294,5.51799999999999,0.000826421871148459,13353.0236,0.417021669053828,13043.71735,0.00153455498235294,0.00153455498235294,5.51799999999999,0.000826421871148459,13353.0236,0.417021669053828,13043.71735,0.00153455498235294,0.00153455498235294,5.51799999999999,0.000826421871148459
2020-03-10,14768.076,0.516205224595127,14320.376,0.00168475011764706,0.00168475011764706,5.43999999999999,0.00110567219093183,14768.076,0.516205224595127,14320.376,0.00168475011764706,0.00168475011764706,5.43999999999999,0.0010262387738383,14768.076,0.516205224595127,14320.376,0.00168475011764706,0.00168475011764706,5.43999999999999,0.0010262387738383,14768.076,0.516205224595127,14320.376,0.00168475011764706,0.00168475011764706,5.43999999999999,0.0010262387738383
2020-03-11,20300.1236,0.479159975957772,19702.6861,0.00231796307058823,0.00231796307058823,5.41099999999999,0.00154794106730456,20300.1236,0.479159975957772,19702.6861,0.00231796307058823,0.00231796307058823,5.41099999999999,0.0013557238108851,20300.1236,0.479159975957772,19702.6861,0.00231796307058823,0.00231796307058823,5.41099999999999,0.0013557238108851,20300.1236,0.479159975957772,19702.6861,0.00231796307058823,0.00231796307058823,5.41099999999999,0.0013557238108851
2020-03-12,25733.5314,0.430452471405574,24891.82515,0.00292845001764706,0.00292845001764706,5.38199999999999,0.00202198974317712,25733.5314,0.430452471405574,24891.82515,0.00292845001764706,0.00292845001764706,5.38199999999999,0.00161671076277248,25733.5314,0.430452471405574,24891.82515,0.00292845001764706,0.00292845001764706,5.38199999999999,0.00161671076277248,25733.5314,0.430452471405574,24891.82515,0.00292845001764706,0.00292845001764706,5.38199999999999,0.00161671076277248
2020-03-13,31993.03,0.345510694770356,30904.03,0.00363576823529412,0.00363576823529412,5.35299999999999,0.00259402613417419,31993.03,0.345510694770356,30904.03,0.00363576823529412,0.00363576823529412,5.35299999999999,0.00185306696549995,31993.03,0.345510694770356,30904.03,0.00363576823529412,0.00363576823529412,5.35299999999999,0.00185306696549995,31993.03,0.345510694770356,30904.03,0.00363576823529412,0.00363576823529412,5.35299999999999,0.00185306696549995
2020-03-14,36086.0136,0.253618283985772,34695.26985,0.00408179645294117,0.00408179645294117,5.32399999999999,0.00315282094204632,36086.0136,0.253618283985772,34695.26985,0.00408179645294117,0.00408179645294117,5.32399999999999,0.00257374656557486,36086.0136,0.253618283985772,34695.26985,0.00408179645294117,0.00408179645294117,5.32399999999999,0.00257374656557486,36086.0136,0.253618283985772,34695.26985,0.00408179645294117,0.00408179645294117,5.32399999999999,0.00257374656557486
2020-03-15,41125.4692,0.311385292471136,39460.96295,0.00464246622941176,0.00464246622941176,5.29499999999999,0.00357522744373165,41125.4692,0.311385292471136,39460.96295,0.00464246622941176,0.00464246622941176,5.29499999999999,0.00295074780424932,41125.4692,0.311385292471136,39460.96295,0.00464246622941176,0.00464246622941176,5.29499999999999,0.00295074780424932,41125.4692,0.311385292471136,39460.96295,0.00464246622941176,0.00464246622941176,5.29499999999999,0.00295074780424932
2020-03-16,43571.8726,0.356678948940994,41712.25385,0.00490732398235294,0.00490732398235294,5.26599999999999,0.00499604931303686,43571.8726,0.356678948940994,41712.25385,0.00490732398235294,0.00490732398235294,5.26599999999999,0.00399219065758973,43571.8726,0.356678948940994,41712.25385,0.00490732398235294,0.00490732398235294,5.26599999999999,0.00399219065758973,43571.8726,0.356678948940994,41712.25385,0.00490732398235294,0.00490732398235294,5.26599999999999,0.00399219065758973
2020-03-17,44576.5782,0.390791549402827,41960.70945,0.00493655405294117,0.00493655405294117,5.23699999999999,0.0064287886071545,44576.5782,0.390791549402827,41960.70945,0.00493655405294117,0.00493655405294117,5.23699999999999,0.00448062586210346,44576.5782,0.390791549402827,41960.70945,0.00493655405294117,0.00493655405294117,5.23699999999999,0.00448062586210346,44576.5782,0.390791549402827,41960.70945,0.00493655405294117,0.00493655405294117,5.23699999999999,0.00448062586210346
2020-03-18,50210.2489999999,0.287840218178471,46813.1739999999,0.00550743223529411,0.00550743223529411,5.20799999999999,0.00803896511514624,50210.2489999999,0.287840218178471,46813.1739999999,0.00550743223529411,0.00550743223529411,5.20799999999999,0.00535129938205771,50210.2489999999,0.287840218178471,46813.1739999999,0.00550743223529411,0.00550743223529411,5.20799999999999,0.00535129938205771,50210.2489999999,0.287840218178471,46813.1739999999,0.00550743223529411,0.00550743223529411,5.20799999999999,0.00535129938205771
